,Dates,Max Earnings
474,2014-12-26 TO 2015-12-04,1982.3650000000007
475,2014-12-29 TO 2015-12-04,1958.889
476,2014-12-30 TO 2015-12-04,1966.732
477,2014-12-31 TO 2015-12-04,1970.621
478,2015-01-02 TO 2015-12-04,1960.295
479,2015-01-05 TO 2015-12-04,2049.366
480,2015-01-06 TO 2015-12-04,2113.686
481,2015-01-07 TO 2015-12-04,2097.857
482,2015-01-08 TO 2015-12-04,2059.808
483,2015-01-09 TO 2015-12-04,2099.416
484,2015-01-12 TO 2015-12-04,2161.339
485,2015-01-13 TO 2015-12-04,2136.468
486,2015-01-14 TO 2015-12-04,2137.59
487,2015-01-15 TO 2015-12-04,2180.486000000001
488,2015-01-16 TO 2015-12-04,2098.606
489,2015-01-20 TO 2015-12-04,2074.655
490,2015-01-21 TO 2015-12-29,1890.846
491,2015-01-22 TO 2015-12-29,1766.9879
492,2015-01-23 TO 2015-12-29,1739.9365000000007
493,2015-01-26 TO 2015-12-29,1756.7608000000002
494,2015-01-27 TO 2015-12-29,1789.4586
495,2015-01-28 TO 2015-12-29,1807.1515
496,2015-01-29 TO 2015-12-29,1749.4501000000007
497,2015-01-30 TO 2015-12-04,1441.7830000000006
498,2015-02-02 TO 2015-12-04,1403.2279999999998
499,2015-02-03 TO 2015-12-04,1358.678
500,2015-02-04 TO 2015-12-04,1380.156
501,2015-02-05 TO 2015-12-04,1342.211
502,2015-02-06 TO 2015-12-04,1350.9610000000002
503,2015-02-09 TO 2015-12-04,1365.7710000000004
504,2015-02-10 TO 2015-12-04,1327.131
505,2015-02-11 TO 2015-12-04,1317.3380000000002
506,2015-02-12 TO 2015-12-04,1300.109
507,2015-02-13 TO 2015-12-04,1260.7240000000004
508,2015-02-17 TO 2015-12-04,1273.694
509,2015-02-18 TO 2015-12-04,1270.9740000000004
510,2015-02-19 TO 2015-12-04,1252.101
511,2015-02-20 TO 2015-12-04,1230.333
512,2015-02-23 TO 2015-12-04,1253.3139999999999
513,2015-02-24 TO 2015-12-04,1249.661
514,2015-02-25 TO 2015-12-04,1218.047
515,2015-02-26 TO 2015-12-04,1210.458
516,2015-02-27 TO 2015-12-04,1246.938
517,2015-03-02 TO 2015-12-04,1213.7040000000004
518,2015-03-03 TO 2015-12-04,1233.704
519,2015-03-04 TO 2015-12-04,1250.121
520,2015-03-05 TO 2015-12-04,1237.899
521,2015-03-06 TO 2015-12-04,1297.7980000000002
522,2015-03-09 TO 2015-12-04,1322.996
523,2015-03-10 TO 2015-12-04,1384.266
524,2015-03-11 TO 2015-12-04,1377.888
525,2015-03-12 TO 2015-12-04,1331.6529999999998
526,2015-03-13 TO 2015-12-04,1366.795
527,2015-03-16 TO 2015-12-04,1395.006
528,2015-03-17 TO 2015-12-04,1409.06
529,2015-03-18 TO 2015-12-04,1386.8129999999999
530,2015-03-19 TO 2015-12-04,1389.433
531,2015-03-20 TO 2015-12-04,1363.201
532,2015-03-23 TO 2015-12-04,1386.2479999999998
533,2015-03-24 TO 2015-12-04,1355.306
534,2015-03-25 TO 2015-12-04,1409.806
535,2015-03-26 TO 2015-12-04,1434.561
536,2015-03-27 TO 2015-12-04,1429.6419999999996
537,2015-03-30 TO 2015-12-04,1394.279
538,2015-03-31 TO 2015-12-04,1424.5240000000006
539,2015-04-01 TO 2015-12-04,1439.509
540,2015-04-02 TO 2015-12-04,1428.3180000000002
541,2015-04-06 TO 2015-12-04,1389.9660000000001
542,2015-04-07 TO 2015-12-04,1393.948
543,2015-04-08 TO 2015-12-04,1325.661
544,2015-04-09 TO 2015-12-04,1323.3529999999998
545,2015-04-10 TO 2015-12-04,1288.01
546,2015-04-13 TO 2015-12-04,1239.6660000000004
547,2015-04-14 TO 2015-12-04,1219.069
548,2015-04-15 TO 2015-12-04,1235.1420000000005
549,2015-04-16 TO 2015-12-29,1138.0172
550,2015-04-17 TO 2015-12-29,1193.305
551,2015-04-20 TO 2015-12-29,1126.275
552,2015-04-21 TO 2015-12-29,1111.91
553,2015-04-22 TO 2015-12-29,1116.18
554,2015-04-23 TO 2015-12-29,1111.5
555,2015-04-24 TO 2016-04-06,926.08
556,2015-04-27 TO 2016-04-06,977.3200000000003
557,2015-04-28 TO 2016-04-06,975.95
